appid,name
47700,Command & Conquer 4: Tiberian Twilight
47730,Dragon Age™: Origins Awakening
47780,Dead Space™ 2
47790,Medal of Honor™
47800,RISK™: Factions
47810,Dragon Age: Origins - Ultimate Edition
47870,Need For Speed: Hot Pursuit
47890,The Sims™ 3
47920,Shift 2 Unleashed
48000,LIMBO
48110,Silent Hunter 5®: Battle of the Atlantic
48190,Assassin’s Creed® Brotherhood
48240,Anno 2070™
48700,Mount & Blade: Warband
48720,Mount & Blade: With Fire & Sword
48800,Ship Simulator Extremes
48950,Greed Corp
49300,Commander: Conquest of the Americas
49470,Magic: The Gathering - Duels of the Planeswalkers 2012
49520,Borderlands 2
49600,Beat Hazard
49800,Flight of the Icarus
49810,CreaVures
49900,Plain Sight
50000,Nimbus
50130,Mafia II
50300,Spec Ops: The Line
50510,Burn Zombie Burn!
55000,Flotilla
55040,Atom Zombie Smasher
55100,Homefront
55110,Red Faction®: Armageddon™
55140,MX vs. ATV Reflex
55150,"Warhammer 40,000: Space Marine"
55230,Saints Row: The Third
57200,Puzzle Dimension
57300,Amnesia: The Dark Descent
57620,Patrician IV - Steam Special Edition
57640,Broken Sword: Director's Cut
57650,Dungeons
57680,The First Templar - Steam Special Edition
57690,Tropico 4
57740,Jagged Alliance - Back in Action
57800,Doc Clock: The Toasted Sandwich of Time
57900,Duke Nukem Forever
58200,Jolly Rover
58400,Turba
58520,Blood Bowl - Legendary Edition
58550,A Game of Thrones - Genesis
58560,Runaway: A Twist of Fate
58570,The Next BIG Thing
58610,Wargame: European Escalation
60340,Luxor: 5th Passage
60600,ProtoGalaxy
60800,Numen: Contest of Heroes
61100,Lucid
61310,Fractal: Make Blooms Not War
61500,Age of Wonders
61510,Age of Wonders II: The Wizard's Throne
61520,Age of Wonders Shadow Magic
61600,Zen Bound 2
61700,Might & Magic: Clash of Heroes
61730,Critter Crunch
62000,Flight Control HD
62100,Chime
63000,HOARD
63200,Monday Night Combat
63500,Swords and Soldiers HD
63610,Riven: The Sequel to MYST
63650,URU: Complete Chronicles
63660,Myst: Masterpiece Edition
63700,BIT.TRIP BEAT
63710,BIT.TRIP RUNNER
63800,Delve Deeper
63900,Fantasy Wars
63910,King's Bounty: Crossworlds
63940,Men of War: Vietnam
63960,Theatre of War 3: Korea
64000,Men of War: Assault Squad
65500,Aura: Fate of the Ages
65530,SpellForce 2: Faith in Destiny
65540,Gothic 1
65560,Painkiller Redemption
65600,Gothic 3: Forsaken Gods Enhanced Edition
65610,ArcaniA: Fall of Setarrif
65730,Take On Helicopters
65740,Carrier Command: Gaea Mission
65780,ARMA: Gold Edition
65790,ARMA: Cold War Assault
65800,Dungeon Defenders
65930,The Bureau: XCOM Declassified
65980,Sid Meier's Civilization®: Beyond Earth™
67000,The Polynomial - Space of the music
67370,The Darkness II
70000,Dino D-Day
70100,Hacker Evolution
70110,Hacker Evolution: Untold
70120,Hacker Evolution Duality
70300,VVVVVV
70400,Recettear: An Item Shop's Tale
70420,Chantelise - A Tale of Two Sisters
70600,Worms Ultimate Mayhem
70620,Worms Crazy Golf
70640,Worms
70650,Worms Blast
70660,Worms Pinball
70900,Star Ruler
71000,Evochron Mercenary
71230,Crazy Taxi
71240,SEGA Bass Fishing
71260,Space Channel 5: Part 2
71340,Sonic Generations Collection
72000,Closure
72400,Clones
72850,The Elder Scrolls V: Skyrim
72900,Winter Voices
73010,Cities in Motion
73170,Darkest Hour: A Hearts of Iron Game
73210,Sengoku
78000,Bejeweled® 3
80200,Fate of the World
80300,Puzzle Bots
80310,Gemini Rue
80330,The Blackwell Legacy
80340,Blackwell Unbound
80350,Blackwell Convergence
80360,Blackwell Deception
90200,Farming Simulator 2011
91100,SkyDrift
91200,Anomaly: Warzone Earth
